idx,milhar,dezena,grupo,animal,hora,local,tipo
1,2025,25,7,Carneiro,11:00,PE HS,Diurno
2,6253,53,14,Gato,11:00,,Diurno
3,5831,31,8,Camelo,11:00,PE,Diurno
4,7761,61,16,Leão,11:00,PE,Diurno
5,5483,83,21,Touro,11:00,PE,Diurno
6,9365,65,17,Macaco,11:00,PE,Diurno
7,6575,75,19,Pavão,11:00,PE,Diurno
8,2874,74,19,Pavão,09:00,,Diurno
9,5368,68,17,Macaco,11:00,PE,Diurno
10,3113,13,4,Borboleta,11:00,PE,Diurno
11,2623,23,6,Cabra,11:00,PE,Diurno
12,4301,1,1,Avestruz,09:00,,Diurno
13,0293,93,24,Veado,09:00,,Diurno
14,4073,73,19,Pavão,09:00,,Diurno
15,2378,78,20,Peru,09:00,,Diurno
16,8355,55,14,Gato,09:00,,Diurno
17,4042,42,11,Cavalo,17:00,,Vespertino
18,3203,3,1,Avestruz,17:00,,Vespertino
19,0977,77,20,Peru,17:00,,Vespertino
20,1338,38,10,Coelho,17:00,,Vespertino
21,8960,60,15,Jacaré,17:00,,Vespertino
22,6068,68,17,Macaco,17:00,,Vespertino
23,7155,55,14,Gato,17:00,,Vespertino
24,7062,62,16,Leão,17:00,,Vespertino
25,3702,2,1,Avestruz,17:00,,Vespertino
26,6712,12,3,Burro,17:00,,Vespertino
27,6773,73,19,Pavão,17:00,,Vespertino
28,0107,7,2,Águia,17:00,,Vespertino
29,6560,60,15,Jacaré,17:00,,Vespertino
30,8522,22,6,Cabra,17:00,,Vespertino
31,2661,61,16,Leão,17:00,,Vespertino
32,2155,55,14,Gato,17:00,,Vespertino
33,9227,27,7,Carneiro,17:00,,Vespertino
34,0823,23,6,Cabra,17:00,,Vespertino
35,7292,92,23,Urso,17:00,,Vespertino
36,4773,73,19,Pavão,17:00,,Vespertino
37,2907,7,2,Águia,17:00,,Vespertino
38,1282,82,21,Touro,17:00,,Vespertino
39,5229,29,8,Camelo,16:00,,Vespertino
40,5732,32,8,Camelo,16:00,,Vespertino
41,9420,20,5,Cachorro,16:00,,Vespertino
42,6428,28,7,Carneiro,16:00,,Vespertino
43,6740,40,10,Coelho,16:00,,Vespertino
44,4083,83,21,Touro,16:00,,Vespertino
45,8857,57,15,Jacaré,16:00,,Vespertino
46,8624,24,6,Cabra,16:00,,Vespertino
47,6648,48,12,Elefante,16:00,,Vespertino
48,4708,8,2,Águia,14:00,,Vespertino
